ABN,issuer,issuer_address,billing_address,invoice_n,date,date_period,reference_n,billed_to,total_without_GST,GST,total_with_GST,data
8133284457,White Inc Pty Ltd,"74833 White Estate Suite 187, Robertborough, ND 08079","105 Christensen Hill, Andrewshire, NJ 77091",e0c85743-633a-410d-8852-b80c193ae8bd,25/06/2015,21/01/2006,251265,Curtis Hernandez,909.58,90.96,1000.54,"[[""30/07/2016"", ""harness mission-critical bandwidth"", 46.68], [""05/10/1993"", ""deliver dynamic convergence"", 220.5], [""08/02/2000"", ""integrate revolutionary models"", 405.21], [""14/04/2015"", ""leverage leading-edge users"", 193.85], [""05/06/2006"", ""engage vertical web-readiness"", 43.34]]"
78265980639,"Bailey, Mathews and Gibbs Pty Ltd","286 Johnson Mission Suite 423, Perkinsview, VI 37678","8990 Spencer Causeway Apt. 723, Port Alyssa, TN 58890",70cfd0c1-960a-486b-b393-22d951ef2a9e,31/05/2013,17/01/2009,6622324,Derrick Phelps,1479.7,147.97,1627.67,"[[""06/11/1998"", ""facilitate impactful architectures"", 486.06], [""22/01/1996"", ""aggregate real-time networks"", 178.58], [""06/04/2008"", ""exploit e-business relationships"", 492.98], [""05/07/2007"", ""re-contextualize interactive infrastructures"", 7.67], [""16/01/2006"", ""transform bricks-and-clicks applications"", 314.41]]"
37754909277,Campos-Sanchez Pty Ltd,"2575 Destiny Well Apt. 150, New Josephland, NH 00635","85937 Stewart Valleys Apt. 527, Haasberg, UT 88983",df8112b7-b133-4b3d-9601-4a0fbfda6822,05/02/1994,29/06/2013,2645850,Carlos Bass,1213.65,121.37,1335.02,"[[""09/08/2017"", ""optimize 24/365 ROI"", 358.67], [""11/11/2004"", ""architect web-enabled partnerships"", 70.3], [""05/12/2011"", ""innovate proactive channels"", 390.7], [""21/07/2018"", ""extend holistic e-services"", 296.08], [""13/07/2009"", ""integrate mission-critical convergence"", 97.9]]"
20307760218,Marshall LLC Pty Ltd,"789 Walker Glen Suite 847, West Tonya, MA 84597","25216 Leach Glen Apt. 136, Johnsonton, IL 23006",71c98611-4efc-406b-8611-b82ce3905e57,16/07/2000,08/10/1994,7095483,Amy Rich,398.16,39.82,437.98,"[[""13/05/2019"", ""orchestrate extensible vortals"", 398.16]]"
47024817070,Villarreal-Bell Pty Ltd,"974 Hughes Walks Suite 773, Melissahaven, MO 42398","92270 Terri Drive, Janetville, SC 33373",927ee14a-0f5b-4287-897b-3c09c6649938,21/09/2022,24/04/2020,9610859,Kelly Swanson,1105.53,110.55,1216.08,"[[""14/02/2016"", ""matrix revolutionary niches"", 205.5], [""20/02/1999"", ""strategize world-class convergence"", 297.58], [""30/12/2007"", ""incubate leading-edge deliverables"", 158.27], [""21/12/2006"", ""productize sticky vortals"", 444.18]]"
39466289720,"Davis, Cook and Atkinson Pty Ltd","5998 Adams Walks Apt. 050, North Jaimeville, NE 17321","532 Kimberly Crescent Suite 251, Michelleport, SD 74930",6469d0c2-8034-44ee-abcf-1cf1d072405f,08/05/2022,11/10/2000,8639470,Robert Weaver,854.3,85.43,939.73,"[[""29/08/2017"", ""synergize web-enabled technologies"", 2.58], [""19/07/2015"", ""re-intermediate distributed ROI"", 317.29], [""09/10/2017"", ""target interactive eyeballs"", 433.52], [""26/01/2020"", ""re-intermediate e-business deliverables"", 100.91]]"
66017895746,Wright Ltd Pty Ltd,"340 Martinez Underpass Apt. 250, North Richardville, CT 35194","326 Michelle Crest Apt. 154, New Brianton, NE 86298",9272e741-805e-46c7-9810-6ec5527d78b6,05/11/2009,17/05/2004,2558420,Megan Carter,546.62,54.66,601.28,"[[""09/04/1993"", ""extend clicks-and-mortar e-markets"", 29.84], [""22/03/1994"", ""syndicate virtual synergies"", 300.4], [""15/02/1996"", ""disintermediate rich mindshare"", 216.38]]"
3642149144,"Perez, Fisher and Evans Pty Ltd","88100 Carrie Glens Apt. 609, East Cassandra, CT 88890","274 Howard Light, North Evanchester, HI 30296",92f90192-4a76-4a4b-8537-8098bc13b368,04/01/2004,15/08/2005,4197284,Alexander Ochoa,492.83,49.28,542.11,"[[""21/01/2000"", ""morph leading-edge convergence"", 95.01], [""15/03/2003"", ""incubate B2B mindshare"", 34.97], [""11/10/2013"", ""expedite killer relationships"", 236.97], [""10/11/1998"", ""engage B2C e-markets"", 125.88]]"
85702713817,Andrews and Sons Pty Ltd,"5252 Mendez Square, East Karen, GU 18126","2538 Lisa Burgs, Baileymouth, FL 07353",adcc4dc1-1033-4a95-a738-c21ca5c4048d,27/03/1994,11/10/2015,3318296,Leslie Davis,1034.12,103.41,1137.53,"[[""06/07/2007"", ""mesh robust metrics"", 78.26], [""02/11/1997"", ""strategize seamless channels"", 177.0], [""16/10/2015"", ""synergize dot-com synergies"", 321.14], [""06/09/2017"", ""synergize best-of-breed convergence"", 457.72]]"
39804201846,Fitzgerald and Sons Pty Ltd,"18564 Martin Loop Suite 379, Wesleyhaven, AL 24548","77851 Thomas Creek, Booneview, ND 43313",71ef9f96-342d-40ff-ba25-dcb86cbbe3b0,03/12/2019,15/02/2004,7599075,Lisa Porter,8.09,0.81,8.9,"[[""13/10/2005"", ""visualize out-of-the-box supply-chains"", 8.09]]"
46608529284,Miller-Barrett Pty Ltd,"20982 Landry Grove Apt. 424, West Rebeccaport, PA 03986","311 Beasley Walks Suite 338, Tracyshire, IN 34650",913eaa7f-6f5e-445f-b696-364262f8c574,04/05/2007,02/08/2001,2918077,Bianca Ayers,152.18,15.22,167.4,"[[""11/11/2018"", ""expedite killer networks"", 152.18]]"
2808885598,Herring Group Pty Ltd,"91993 Jackson Valley Suite 450, Port Jason, GU 69932","48044 Charles Haven, Hopkinsview, AS 35669",40850590-37d6-4ca0-9a33-bade901aff78,29/07/2012,03/12/2021,6633352,Wendy Jackson,676.23,67.62,743.85,"[[""03/02/2023"", ""evolve impactful ROI"", 292.52], [""02/02/2008"", ""engage efficient action-items"", 139.57], [""07/10/2008"", ""whiteboard wireless synergies"", 14.05], [""06/05/2002"", ""iterate front-end e-commerce"", 230.09]]"
67399444591,"George, Ferguson and Ward Pty Ltd","986 Valerie Field Apt. 847, North Lindsey, IL 76101","1734 Edwin Terrace Suite 387, West Bettyport, NH 72716",7ce8a4a2-669e-4011-8aab-6f095ffd7a1d,21/11/2003,27/02/2013,7218145,Brooke Hughes,4.9,0.49,5.39,"[[""11/09/2015"", ""deploy integrated platforms"", 4.9]]"
81466899865,"Brown, Fox and Russell Pty Ltd","92478 Sheila Lodge, Wallchester, LA 87739","73187 Baker Island, Roberttown, IN 47718",a6a7d6fd-a953-4308-a013-72ad6eb319d0,11/01/2005,28/08/2013,1864449,Leonard Rasmussen,1108.72,110.87,1219.59,"[[""01/08/2008"", ""envisioneer dynamic infrastructures"", 431.0], [""03/05/1997"", ""brand integrated vortals"", 242.47], [""11/10/2014"", ""incubate seamless relationships"", 435.25]]"
88565936669,"Smith, Duncan and Smith Pty Ltd","475 Garcia Manors Apt. 393, Lisamouth, DC 09629","695 Marie Ville, West Allison, OR 23672",635baaf3-95a3-4c5e-8431-05211f7ecac7,20/05/2017,24/03/2012,9795246,Jessica Taylor,297.38,29.74,327.12,"[[""12/06/1999"", ""envisioneer customized e-commerce"", 297.38]]"
27352085834,Rivera Group Pty Ltd,"PSC 5244, Box 6631, APO AE 95844","3152 Christopher Springs Suite 277, New Sara, WA 30990",eb921ca7-11ed-41b7-b5ed-39fc4ad0aff4,29/11/2004,12/12/2021,1392852,Nichole Gardner,668.06,66.81,734.87,"[[""21/03/2021"", ""disintermediate turn-key channels"", 320.64], [""29/04/2001"", ""evolve transparent e-services"", 56.46], [""27/01/2008"", ""brand compelling systems"", 290.96]]"
56495441795,"Becker, Coleman and Andrews Pty Ltd","262 Dodson Route, South Baileyshire, FM 44399","90207 Allen Wells Suite 177, Grossland, FM 81823",a3419a69-48c7-4aec-9a64-5595f3919887,14/06/1995,14/04/1994,6570641,Brittney Gill,1272.75,127.28,1400.03,"[[""01/10/2003"", ""engineer B2B solutions"", 403.56], [""25/08/2006"", ""streamline interactive e-markets"", 497.12], [""28/01/1994"", ""extend customized bandwidth"", 372.07]]"
44336770097,George-Walker Pty Ltd,"07906 Garza Ways Apt. 819, East Amandashire, MN 95079","1943 Monica Course, Brooksstad, CO 74316",dbe9d247-1209-4504-b39a-7e200cf5698d,10/03/1999,05/03/1997,6795483,Laurie Cole,1535.67,153.57,1689.24,"[[""09/09/2010"", ""scale turn-key eyeballs"", 432.63], [""18/04/2012"", ""productize vertical e-commerce"", 463.78], [""24/04/1995"", ""strategize bleeding-edge platforms"", 461.83], [""24/04/2005"", ""drive killer infrastructures"", 177.43]]"
91334487190,Hartman PLC Pty Ltd,"7032 Justin Fords, Sandersmouth, AZ 61236","2354 Eric Plains, West Charles, AL 53742",be4ceea5-a6a0-49c1-b3b3-b061185f61eb,13/05/1999,09/10/1993,7348363,Billy Torres,801.32,80.13,881.45,"[[""02/04/2002"", ""mesh 24/365 models"", 52.84], [""15/09/2020"", ""enable holistic initiatives"", 298.85], [""21/12/1998"", ""transition leading-edge models"", 449.63]]"
98908014030,Smith Ltd Pty Ltd,"PSC 5699, Box 9680, APO AE 63890","370 Patrick Square, Garciamouth, VA 02041",a2d9c1d9-cace-4584-b819-490c7d1f0684,29/04/2008,14/10/2005,2342057,Michael Miller,1531.72,153.17,1684.89,"[[""16/09/1998"", ""architect front-end applications"", 339.69], [""11/07/2002"", ""extend efficient info-mediaries"", 347.99], [""14/05/1993"", ""revolutionize front-end e-markets"", 463.84], [""26/12/1999"", ""synergize back-end functionalities"", 226.59], [""05/08/2021"", ""repurpose e-business infrastructures"", 153.61]]"
53287720980,Smith Inc Pty Ltd,"961 Jack Crescent, South Johnton, NM 18282","19653 Sanders Spurs Apt. 039, Josehaven, WA 19742",679e5006-f5c0-4ace-b97f-0a200fbbc89d,28/09/2020,08/09/2005,8886992,Lisa Arnold,79.77,7.98,87.75,"[[""25/07/2022"", ""implement 24/365 infrastructures"", 79.77]]"
