issuer,issuer_address,issuer_number,business_code,invoice_n,date,billed_to,email,website,deadline,data,subtotal,tax,total
"Weaver, Robertson and Mccall","40086 Perez Oval
Oliviaborough, ME 75159",982-214-0458x183,271660760 128898874 903894575,40857,2019-10-01,Yvette Peterson,pmorris@example.com,https://www.clark.com/,11,"[[""repurpose revolutionary relationships"", 203.86, 10, 2038.6000000000001], [""utilize proactive systems"", 332.37, 1, 332.37], [""re-intermediate global eyeballs"", 237.92, 4, 951.68], [""brand B2B users"", 169.38, 4, 677.52], [""incubate frictionless solutions"", 476.29, 5, 2381.4500000000003], [""disintermediate user-centric bandwidth"", 272.65, 7, 1908.5499999999997], [""redefine integrated e-tailers"", 443.68, 2, 887.36]]",9177.53,1475.81,10653.34
Jackson-Cannon,"82579 Black Crescent Apt. 999
West Jessica, AS 95821",815-570-7048x076,312688481 579842901 345181455,40088,2022-05-24,Mark Kelly,amy35@example.com,https://hicks.com/,27,"[[""incentivize revolutionary solutions"", 38.18, 4, 152.72], [""iterate wireless infrastructures"", 292.75, 3, 878.25], [""engineer web-enabled web services"", 420.61, 5, 2103.05]]",3134.0200000000004,171.83,3305.8500000000004
Griffin and Sons,"82663 Tran Camp Suite 291
West Vincentmouth, MS 95290",845.333.0650x73139,760190247 707498533 273854603,48731,2019-09-11,Cindy Ramirez,tiffanyknight@example.org,https://mitchell-larson.com/,56,"[[""transform customized users"", 407.5, 4, 1630.0], [""matrix vertical web-readiness"", 121.55, 7, 850.85], [""optimize 24/7 schemas"", 118.38, 4, 473.52], [""strategize clicks-and-mortar functionalities"", 101.14, 8, 809.12], [""grow virtual initiatives"", 261.12, 10, 2611.2], [""architect dynamic supply-chains"", 90.74, 6, 544.4399999999999], [""embrace synergistic mindshare"", 223.75, 10, 2237.5], [""engineer cross-platform schemas"", 106.46, 5, 532.3]]",9688.929999999998,1047.12,10736.05
Gray-Davis,"USS Robinson
FPO AA 52678",733.314.0054x3706,493374539 836109421 827537744,5901,2020-08-09,Austin Koch,shannon13@example.net,https://www.williams-jones.com/,34,"[[""deliver innovative methodologies"", 165.86, 4, 663.44], [""visualize killer synergies"", 52.35, 8, 418.8], [""evolve extensible experiences"", 468.79, 1, 468.79], [""morph world-class deliverables"", 96.56, 9, 869.04]]",2420.0699999999997,192.64,2612.7099999999996
Smith Inc,"Unit 6432 Box 3155
DPO AA 31008",001-230-920-5986x41160,239739136 531406253 165274701,81636,2020-10-10,Steven Harris,jjones@example.net,https://fernandez.com/,36,"[[""enhance distributed technologies"", 499.97, 10, 4999.700000000001], [""maximize cross-media systems"", 186.51, 6, 1119.06], [""maximize enterprise web services"", 227.41, 3, 682.23], [""morph synergistic e-business"", 88.77, 2, 177.54]]",6978.53,1220.67,8199.2
Winters Group,"37335 Shane Groves
Stevenhaven, UT 08126",001-807-589-6907,694387802 576947443 958270427,45577,2021-07-31,Brenda Cooper,haleyhardy@example.com,http://www.wright-black.com/,31,"[[""synthesize visionary content"", 21.49, 4, 85.96]]",85.96,7.61,93.57
Ross Ltd,"PSC 1345, Box 8443
APO AP 33797",001-569-380-7235x008,161836227 372359151 274960917,32922,2022-11-01,Aaron Benton,ashley32@example.com,https://drake-frost.info/,44,"[[""incubate clicks-and-mortar e-tailers"", 142.43, 4, 569.72], [""whiteboard robust eyeballs"", 163.23, 6, 979.3799999999999], [""revolutionize bleeding-edge relationships"", 113.99, 1, 113.99]]",1663.09,93.82,1756.9099999999999
Soto Group,"02866 Rowe Prairie
New Jessica, VI 50742",(692)579-4062x8489,243822697 309461641 495351855,99933,2020-05-19,Melinda Cruz,nsutton@example.org,https://mora.org/,16,"[[""deploy synergistic functionalities"", 370.21, 2, 740.42], [""aggregate ubiquitous ROI"", 454.58, 10, 4545.8], [""seize interactive e-tailers"", 17.15, 7, 120.04999999999998], [""harness proactive e-tailers"", 445.03, 9, 4005.2699999999995], [""facilitate cross-media content"", 192.11, 4, 768.44], [""benchmark B2C paradigms"", 136.03, 1, 136.03], [""whiteboard back-end vortals"", 226.77, 3, 680.3100000000001]]",10996.320000000002,1216.93,12213.250000000002
"Robertson, Rice and Mckenzie","909 Lawrence Run
East Dawn, DC 41837",001-750-267-0902x5479,213301885 467381461 411612357,5694,2019-03-18,Donna Leonard,colerobert@example.net,https://www.adkins.com/,58,"[[""matrix bricks-and-clicks functionalities"", 226.79, 8, 1814.32], [""drive transparent synergies"", 283.08, 2, 566.16], [""cultivate transparent deliverables"", 88.65, 8, 709.2], [""incentivize open-source technologies"", 402.41, 7, 2816.8700000000003], [""incubate extensible e-commerce"", 459.63, 2, 919.26], [""deliver extensible schemas"", 480.29, 9, 4322.610000000001], [""mesh transparent architectures"", 462.55, 3, 1387.65], [""extend magnetic web-readiness"", 263.2, 7, 1842.3999999999999], [""target holistic models"", 354.81, 6, 2128.86], [""visualize visionary functionalities"", 498.99, 6, 2993.94]]",19501.27,1206.32,20707.59
Andrews LLC,"82063 Tina Park Suite 222
Lake Johnport, WV 24636",001-369-050-9326,632659167 112838994 611265792,57354,2018-06-08,Stacy Tran,martinjustin@example.com,http://owens-avila.com/,12,"[[""repurpose turn-key paradigms"", 67.74, 2, 135.48], [""iterate customized info-mediaries"", 34.0, 1, 34.0], [""scale transparent e-tailers"", 365.13, 4, 1460.52], [""transform scalable markets"", 103.77, 5, 518.85], [""extend proactive supply-chains"", 316.64, 6, 1899.84]]",4048.6899999999996,621.48,4670.17
"Roberson, Hawkins and Gibson","83727 Vance Cape
Brianfort, TX 78843",+1-456-830-1834,528835044 720363726 837362174,65919,2021-06-02,Brian Houston MD,lutzcharles@example.org,http://nelson.com/,18,"[[""expedite cross-platform communities"", 38.31, 8, 306.48], [""matrix intuitive interfaces"", 237.71, 8, 1901.68], [""streamline impactful synergies"", 394.8, 6, 2368.8], [""envisioneer e-business e-business"", 436.91, 6, 2621.46], [""synthesize cross-media methodologies"", 339.32, 3, 1017.96], [""matrix compelling bandwidth"", 475.99, 2, 951.98], [""enhance compelling solutions"", 136.86, 1, 136.86]]",9305.220000000001,678.38,9983.6
Kline-Medina,"1967 Claire Hills Suite 686
Matthewchester, SD 20651",6755650894,944779879 570373373 484042245,59738,2019-09-02,Cindy Lane,xmatthews@example.org,https://rodriguez.com/,2,"[[""integrate impactful applications"", 437.84, 4, 1751.36], [""benchmark world-class schemas"", 201.91, 1, 201.91], [""harness plug-and-play platforms"", 255.36, 2, 510.72], [""matrix collaborative e-tailers"", 90.22, 7, 631.54], [""grow out-of-the-box e-markets"", 291.97, 7, 2043.7900000000002], [""strategize collaborative paradigms"", 476.31, 5, 2381.55]]",7520.87,583.89,8104.76
"Hall, Malone and Martinez","6754 Kristine Ferry
Port Lisatown, OK 93663",270.959.1667x977,100170455 951623866 458614648,71357,2020-01-02,Brian Ponce,robert54@example.com,https://welch.biz/,44,"[[""incubate interactive relationships"", 310.54, 7, 2173.78], [""e-enable interactive content"", 35.8, 8, 286.4], [""architect plug-and-play architectures"", 495.27, 6, 2971.62]]",5431.8,272.49,5704.29
Allen-Martinez,"82187 Kerry Tunnel Apt. 919
Bennettmouth, SD 71281",(389)249-5952,710509872 338825956 341834664,53161,2020-07-18,Sean Chambers,zanderson@example.com,https://www.simmons-thomas.net/,28,"[[""extend value-added content"", 383.47, 5, 1917.3500000000001], [""matrix integrated web-readiness"", 94.71, 9, 852.39], [""disintermediate turn-key e-markets"", 299.6, 10, 2996.0], [""maximize next-generation ROI"", 463.38, 5, 2316.9], [""repurpose bleeding-edge action-items"", 186.6, 10, 1866.0], [""maximize turn-key mindshare"", 381.13, 1, 381.13]]",10329.769999999999,1890.32,12220.089999999998
Murray and Sons,"632 Edward Cliff Apt. 662
South Sarah, MT 02951",762.040.5885,461807436 892561370 777363483,13874,2022-07-22,Ricardo Bennett,greenmelanie@example.com,http://byrd.info/,40,"[[""incentivize clicks-and-mortar e-business"", 158.16, 7, 1107.12], [""re-contextualize enterprise functionalities"", 214.28, 9, 1928.52], [""benchmark leading-edge supply-chains"", 227.34, 7, 1591.38], [""re-contextualize real-time systems"", 175.22, 5, 876.1], [""maximize customized e-commerce"", 347.55, 2, 695.1], [""disintermediate strategic users"", 431.41, 4, 1725.64], [""target holistic content"", 319.21, 2, 638.42], [""extend compelling supply-chains"", 450.06, 4, 1800.24], [""synthesize clicks-and-mortar interfaces"", 445.64, 9, 4010.7599999999998], [""aggregate one-to-one relationships"", 322.16, 5, 1610.8000000000002]]",15984.080000000002,854.75,16838.83
Alvarez-Hawkins,"50940 Chelsea Trail
Millerberg, MP 89745",+1-578-332-0209x879,589501186 165793282 163215563,59759,2020-12-02,Samuel Jennings,andreamcfarland@example.com,http://www.taylor-clark.net/,7,"[[""unleash holistic platforms"", 21.15, 1, 21.15], [""strategize efficient applications"", 45.67, 10, 456.70000000000005], [""facilitate sticky channels"", 129.17, 6, 775.02], [""architect user-centric partnerships"", 305.85, 1, 305.85], [""drive distributed mindshare"", 188.18, 8, 1505.44]]",3064.16,444.47,3508.63
"Watson, Martin and Perez","922 Singleton Walk
North Jessica, AZ 22858",575.700.6446,239119009 976935195 538562609,77227,2023-02-11,Mr. Michael Stafford MD,xross@example.net,http://ryan.com/,59,"[[""reinvent next-generation action-items"", 216.79, 9, 1951.11], [""mesh end-to-end interfaces"", 81.06, 10, 810.6]]",2761.71,206.46,2968.17
Mooney-Johnson,"72050 Terry Heights
Suzanneberg, NJ 54657",(528)217-2536x496,394746516 975711470 104197020,41444,2022-08-06,Matthew Lopez,cruzjohn@example.org,http://www.evans.org/,37,"[[""disintermediate rich models"", 151.22, 6, 907.3199999999999], [""morph cross-platform architectures"", 460.36, 7, 3222.52]]",4129.84,518.9,4648.74
Shaw LLC,"575 Karen Way
Parkershire, OH 67208",+1-912-977-4662x4845,749200679 197078128 468279926,660,2022-11-04,Jennifer Barry,david54@example.net,https://www.hall-johnson.com/,34,"[[""benchmark seamless functionalities"", 349.21, 1, 349.21], [""revolutionize revolutionary relationships"", 476.39, 2, 952.78], [""implement extensible solutions"", 233.43, 5, 1167.15]]",2469.1400000000003,162.75,2631.8900000000003
Martinez-Dennis,"27431 Coleman Springs Apt. 209
Lake Mary, MS 62365",(951)327-7646,223108504 322586844 543229437,2569,2018-12-14,David Warner,sheri45@example.net,http://hebert-sullivan.com/,3,"[[""embrace plug-and-play relationships"", 128.19, 9, 1153.71], [""envisioneer cutting-edge applications"", 224.34, 10, 2243.4], [""exploit one-to-one initiatives"", 413.09, 5, 2065.45], [""iterate frictionless convergence"", 101.3, 4, 405.2], [""envisioneer best-of-breed e-commerce"", 271.16, 4, 1084.64], [""synergize impactful infrastructures"", 327.73, 2, 655.46], [""re-intermediate strategic channels"", 289.8, 7, 2028.6000000000001], [""innovate world-class e-commerce"", 308.71, 5, 1543.55], [""exploit leading-edge systems"", 52.21, 1, 52.21]]",11232.219999999998,1488.75,12720.969999999998
Boyd-Fernandez,"731 Karen Overpass
Deanstad, ME 29958",094.609.1168,454558468 352063836 322917476,27238,2018-12-30,Christopher Bell,tgould@example.org,http://henry.info/,10,"[[""transform cross-platform relationships"", 270.33, 6, 1621.98], [""matrix viral networks"", 218.38, 9, 1965.42], [""grow clicks-and-mortar content"", 287.26, 8, 2298.08], [""re-intermediate cross-media partnerships"", 247.78, 7, 1734.46], [""empower robust vortals"", 71.46, 4, 285.84], [""architect ubiquitous eyeballs"", 98.03, 8, 784.24], [""engage intuitive e-commerce"", 216.68, 10, 2166.8], [""transition mission-critical supply-chains"", 347.58, 1, 347.58], [""visualize intuitive technologies"", 24.51, 8, 196.08], [""aggregate cross-media web-readiness"", 492.68, 7, 3448.76]]",14849.24,1690.58,16539.82
"Clark, Garcia and Green","USS Oliver
FPO AP 69146",001-996-678-7873,811783032 120651085 914691942,3448,2019-07-11,Justin Montgomery,briannapowell@example.org,http://taylor.com/,57,"[[""productize granular experiences"", 244.65, 2, 489.3], [""synthesize next-generation e-services"", 392.05, 1, 392.05], [""streamline holistic systems"", 97.19, 1, 97.19], [""morph transparent platforms"", 153.44, 1, 153.44], [""aggregate efficient relationships"", 226.7, 3, 680.0999999999999]]",1812.08,175.31,1987.3899999999999
"Henderson, Wright and Haynes","5476 Michael Underpass
Powellbury, PW 83857",(295)110-2364,789515386 332365226 120139541,16946,2022-01-16,Denise Smith,dstevenson@example.org,https://www.khan-stewart.com/,5,"[[""transform wireless e-services"", 308.92, 5, 1544.6000000000001], [""unleash strategic infrastructures"", 11.76, 7, 82.32], [""redefine one-to-one partnerships"", 223.09, 8, 1784.72], [""harness front-end users"", 270.08, 8, 2160.64], [""transform e-business content"", 389.38, 6, 2336.2799999999997], [""synthesize distributed schemas"", 133.18, 3, 399.54]]",8308.1,428.31,8736.41
