issuer,invoice_n,billed_to,mobile,address,date,email,data,subtotal,tax,total
Thompson LLC,30955,JUSTIN SMITH,(400)523-2880x24202,"6867 Scott Squares Suite 332, Tylerport, SC 59202",29/09/2020,stephen59@example.org,"[[""Reverse-engineered reciprocal process improvement"", 4, 72.18, 288.72], [""Ergonomic mission-critical emulation"", 4, 69.31, 277.24], [""Upgradable encompassing portal"", 1, 61.1, 61.1], [""Organized clear-thinking help-desk"", 1, 26.5, 26.5]]",653.56,65.36,718.92
"Calhoun, Love and Davis",66576,JORDAN WILSON,001-839-486-4230,"19839 Wade Loaf Suite 508, Clarkport, IA 82954",12/01/2023,gordon65@example.com,"[[""Pre-emptive user-facing infrastructure"", 3, 64.96, 194.88]]",194.88,19.49,214.37
Garcia LLC,71859,MAURICE MOORE,+1-763-078-6695x1092,"PSC 0547, Box 5614, APO AE 70791",21/08/2018,christina21@example.com,"[[""Open-architected eco-centric capability"", 5, 73.21, 366.05], [""Synergistic transitional secured line"", 2, 19.28, 38.56], [""Open-architected optimizing architecture"", 4, 40.84, 163.36], [""Networked upward-trending alliance"", 5, 80.86, 404.3]]",972.27,97.23,1069.5
"Chang, Parker and Mcmillan",54501,JASON BARRON,743-931-0085,"4867 Norman View, Bobbyhaven, WY 30648",20/07/2020,paulhood@example.com,"[[""Decentralized reciprocal toolset"", 5, 83.22, 416.1], [""Public-key web-enabled solution"", 3, 83.43, 250.29], [""Multi-tiered scalable capability"", 1, 70.3, 70.3], [""Assimilated modular complexity"", 1, 33.66, 33.66]]",770.35,77.04,847.39
Williams LLC,13239,ELIZABETH BATES,+1-857-469-8074x49318,"422 Mahoney Streets Suite 118, Nicoletown, MS 58475",03/11/2021,kristieburke@example.net,"[[""User-friendly incremental analyzer"", 3, 36.68, 110.04]]",110.04,11.0,121.04
Casey Ltd,61643,EMILY GARCIA,722.496.2112x68753,"0515 Tara Court, Lake Deborah, WV 33505",15/05/2018,freybrenda@example.org,"[[""Seamless clear-thinking parallelism"", 5, 47.14, 235.7], [""Reverse-engineered object-oriented capacity"", 5, 76.11, 380.55], [""Adaptive regional projection"", 5, 58.75, 293.75], [""Vision-oriented mobile pricing structure"", 5, 59.98, 299.9], [""Polarized demand-driven protocol"", 5, 44.48, 222.4]]",1432.3,143.23,1575.53
"Fleming, Ayala and Shepherd",20422,ROBERT KHAN,(525)278-6958,"836 Le Vista, Riverafort, OK 04974",25/02/2020,jessearnold@example.net,"[[""Pre-emptive zero-defect pricing structure"", 5, 25.53, 127.65], [""Reactive homogeneous help-desk"", 5, 56.41, 282.05], [""Function-based foreground hardware"", 4, 26.26, 105.04], [""User-centric hybrid migration"", 3, 71.18, 213.54]]",728.28,72.83,801.11
"Dalton, Gordon and Hamilton",40978,RENEE PEARSON,130.164.1587x1144,"4089 Turner Fields Suite 350, Maryshire, OK 57620",11/08/2019,valenciadanielle@example.org,"[[""Programmable solution-oriented protocol"", 4, 14.96, 59.84], [""Fundamental even-keeled definition"", 1, 84.96, 84.96], [""Business-focused optimizing task-force"", 3, 30.28, 90.84]]",235.64,23.56,259.2
"Hardy, Warner and Delgado",74226,JASON PRINCE,358.047.8515,"USCGC Grant, FPO AA 93647",19/03/2022,tyler72@example.com,"[[""Intuitive intermediate pricing structure"", 5, 44.31, 221.55], [""Decentralized mission-critical capacity"", 1, 93.27, 93.27], [""Open-architected upward-trending interface"", 1, 74.14, 74.14]]",388.96,38.9,427.86
Palmer Ltd,19096,EMILY WEAVER,001-771-649-9386x5425,"1568 Taylor Streets Apt. 264, South Christinatown, WI 45393",22/12/2020,pbaker@example.org,"[[""Synergistic mission-critical function"", 2, 28.9, 57.8], [""Customer-focused upward-trending firmware"", 5, 37.25, 186.25], [""Front-line cohesive hardware"", 4, 32.66, 130.64], [""Phased context-sensitive implementation"", 2, 46.07, 92.14]]",466.83,46.68,513.51
Roberts-Cooke,43224,CHARLES DAVIS,(570)027-7381x84108,"1720 Hooper Crescent, Dawnmouth, MO 42681",23/07/2022,terri72@example.com,"[[""Implemented global archive"", 3, 78.0, 234.0], [""Polarized 24/7 flexibility"", 4, 34.64, 138.56], [""Configurable real-time pricing structure"", 4, 58.29, 233.16]]",605.72,60.57,666.29
Mitchell Inc,30100,KATHLEEN HERNANDEZ,0240364678,"0146 Carroll Causeway, Bellberg, PA 15905",30/05/2021,jennawallace@example.com,"[[""Team-oriented national archive"", 5, 51.47, 257.35], [""Automated bifurcated data-warehouse"", 5, 77.09, 385.45], [""Profound directional Internet solution"", 1, 18.44, 18.44], [""Profit-focused intangible contingency"", 4, 67.65, 270.6], [""Networked real-time core"", 3, 79.74, 239.22]]",1171.06,117.11,1288.17
Rivera-Johnson,22516,LISA DELACRUZ,+1-672-083-8179x5247,"5691 Diana Meadows, West Todd, PA 06565",25/01/2019,howard92@example.org,"[[""Switchable systematic monitoring"", 2, 75.8, 151.6], [""Ameliorated contextually-based superstructure"", 1, 71.63, 71.63]]",223.23,22.32,245.55
Kim-Carter,21827,MICHELLE BARBER,+1-284-935-6413,"765 King Orchard Suite 389, West Joan, TN 25152",04/04/2020,medinarandall@example.org,"[[""Advanced static leverage"", 5, 57.09, 285.45], [""Implemented 6thgeneration orchestration"", 3, 35.31, 105.93], [""Horizontal bandwidth-monitored focus group"", 2, 82.46, 164.92], [""Polarized directional function"", 4, 34.09, 136.36], [""Function-based empowering productivity"", 5, 64.31, 321.55]]",1014.21,101.42,1115.63
Williams PLC,36441,ROBERT WALKER,660-655-9742,"38106 Tracy Plains, Jennifertown, OK 03251",09/08/2022,heatherhaynes@example.org,"[[""Reactive bottom-line workforce"", 3, 22.06, 66.18], [""Open-source attitude-oriented synergy"", 3, 34.77, 104.31]]",170.49,17.05,187.54
Mckinney-Barrera,79965,DEREK ARELLANO,429.707.3589x426,"19564 Gina Square Suite 329, Carlosview, AK 60292",21/08/2021,josephwang@example.com,"[[""Open-source dedicated complexity"", 4, 50.8, 203.2], [""Exclusive context-sensitive Local Area Network"", 4, 10.34, 41.36], [""Organic dedicated benchmark"", 3, 61.66, 184.98], [""Assimilated actuating hardware"", 4, 72.89, 291.56]]",721.1,72.11,793.21
Velez Ltd,11852,CARRIE HENSON,382.436.1288x05768,"051 Michael Spurs Suite 401, Lake Jonathanhaven, VI 57470",05/02/2020,derek74@example.net,"[[""Reduced client-driven Local Area Network"", 3, 66.67, 200.01], [""Centralized exuding knowledge user"", 3, 25.94, 77.82], [""Organized bottom-line benchmark"", 2, 71.91, 143.82], [""Integrated tertiary methodology"", 1, 72.03, 72.03], [""Inverse solution-oriented forecast"", 3, 66.66, 199.98]]",693.66,69.37,763.03
"Murphy, Martin and Johnson",51955,ADAM WEBB,646-901-7379x9910,"7838 Ashley Spring, West Heather, MO 40456",11/07/2018,ilarsen@example.org,"[[""Object-based 5thgeneration forecast"", 2, 48.19, 96.38], [""Universal mission-critical collaboration"", 5, 67.79, 338.95], [""Progressive 6thgeneration installation"", 4, 19.91, 79.64], [""Reverse-engineered uniform intranet"", 3, 85.57, 256.71]]",771.68,77.17,848.85
Chase-Tucker,87117,JOSEPH SCOTT,001-834-392-8149x847,"8362 Williams Tunnel, New Donaldfurt, NJ 48162",07/12/2021,christopher26@example.org,"[[""Inverse fresh-thinking workforce"", 2, 88.2, 176.4], [""Managed tangible toolset"", 4, 44.53, 178.12], [""Reactive national capacity"", 3, 87.39, 262.17], [""Assimilated demand-driven benchmark"", 4, 47.07, 188.28], [""Organic disintermediate array"", 4, 25.98, 103.92]]",908.89,90.89,999.78
Moyer Ltd,81972,AMY SIMMONS,4261391716,"01635 Stephen Fort Apt. 420, Lake Bryan, AZ 65836",03/05/2018,danny41@example.org,"[[""De-engineered coherent parallelism"", 4, 97.36, 389.44], [""Re-contextualized directional open system"", 3, 45.47, 136.41], [""Horizontal zero-defect middleware"", 3, 32.34, 97.02]]",622.87,62.29,685.16
